date,year,week_num,album,artist,meta_score,user_score
"September 12, 2000",2000,37,Everything Everything,Underworld,77,87
"July 11, 2000",2000,28,Art and Life,Beenie Man,77,0
"June 6, 2000",2000,23,Quality Control,Jurassic 5,77,82
"February 29, 2000",2000,9,Original Motion Picture Score for The Virgin Suicides,Air,77,84
"August 29, 2000",2000,35,The Confessions of St Ace,John Wesley Harding,77,83
"February 29, 2000",2000,9,Two Against Nature,Steely Dan,77,85
"September 12, 2000",2000,37,Relationship Of Command,At the Drive-In,77,88
"September 5, 2000",2000,36,Excuses for Travelers,Mojave 3,77,80
"August 22, 2000",2000,34,The Mirror Conspiracy,Thievery Corporation,76,86
"October 3, 2000",2000,40,Youre the One,Paul Simon,76,81
"October 31, 2000",2000,44,Haunted,Poe,76,88
"August 29, 2000",2000,35,Essence,A Guy Called Gerald,76,0
"September 19, 2000",2000,38,SelmaSongs Music from the Motion Picture Dancer in the Dark,Bjrk,76,85
"May 23, 2000",2000,21,Wasp Star Apple Venus Pt 2,XTC,75,87
"October 3, 2000",2000,40,Oui,The Sea and Cake,75,78
"December 12, 2000",2000,50,Restless,Xzibit,75,88
"October 31, 2000",2000,44,Tomorrows Sounds Today,Dwight Yoakam,75,82
"February 29, 2000",2000,9,NakedSelf,The The,75,74
"August 8, 2000",2000,32,Art Official Intelligence Mosaic Thump,De La Soul,75,86
"October 24, 2000",2000,43,Wish I Was In Heaven Sitting Down,RL Burnside,75,0
"October 10, 2000",2000,41,Lets Get Ready,Mystikal,74,0
"February 1, 2000",2000,5,The Night,Morphine,74,78
"October 10, 2000",2000,41,Abandoned Shopping Trolley Hotline,Gomez,74,82
"September 26, 2000",2000,39,Bridging the Gap,The Black Eyed Peas,74,77
"August 22, 2000",2000,34,GOAT Featuring James T Smith The Greatest of All Time,LL Cool J,73,68
"June 6, 2000",2000,23,Melody of Certain Damaged Lemons,Blonde Redhead,73,84
"September 12, 2000",2000,37,Red Dirt Girl,Emmylou Harris,73,88
"March 21, 2000",2000,12,Gung Ho,Patti Smith,73,86
"June 20, 2000",2000,25,3,Pole,73,0
"April 25, 2000",2000,17,Silver Gold,Neil Young,73,76
"October 24, 2000",2000,43,More Light,J Mascis the Fog,73,0
"June 6, 2000",2000,23,Movement In Still Life,BT,73,77
"June 20, 2000",2000,25,White Pony,Deftones,72,89
"August 21, 2000",2000,34,Monaco,Monaco,72,81
"June 20, 2000",2000,25,The Rising Tide,Sunny Day Real Estate,72,86
"May 9, 2000",2000,19,Dusty Trails,Dusty Trails,72,0
"May 16, 2000",2000,20,Oops! I Did It Again,Britney Spears,72,79
"November 7, 2000",2000,45,Parachutes,Coldplay,72,87
"November 14, 2000",2000,46,Holy Wood In the Shadow of the Valley of Death,Marilyn Manson,72,89
"October 3, 2000",2000,40,Warning,Green Day,72,83
"September 12, 2000",2000,37,The Good the Bad and the Funky,Tom Tom Club,71,75
"August 22, 2000",2000,34,Disappeared,Spring Heel Jack,71,0
"November 7, 2000",2000,45,TP-2com,R Kelly,71,69
"October 10, 2000",2000,41,Breach,The Wallflowers,71,89
"September 12, 2000",2000,37,OST,Almost Famous,70,80
"September 19, 2000",2000,38,Solaris,Photek,70,0
"June 27, 2000",2000,26,Alone With Everybody,Richard Ashcroft,70,80
"May 16, 2000",2000,20,Binaural,Pearl Jam,69,82
"February 15, 2000",2000,7,Bloodflowers,The Cure,69,86
"October 3, 2000",2000,40,Sing When Youre Winning,Robbie Williams,69,88
"May 23, 2000",2000,21,The Platform,Dilated Peoples,69,0
date,year,week_num,album,artist,meta_score,user_score
"April 4, 2000",2000,14,Ecstasy,Lou Reed,69,81
"June 23, 2000",2000,25,Golden Greats,Ian Brown,69,86
"August 22, 2000",2000,34,The Menace,Elastica,69,87
"September 5, 2000",2000,36,Hyacinths and Thistles,The 6ths,68,0
"June 6, 2000",2000,23,Fold Your Hands Child You Walk Like A Peasant,Belle and Sebastian,68,85
"May 30, 2000",2000,22,Trickle,Olive,68,0
"April 11, 2000",2000,15,Return of Saturn,No Doubt,68,87
"May 9, 2000",2000,19,This Time Around,Hanson,67,83
"May 9, 2000",2000,19,The Geometrid,Looper,67,0
"August 22, 2000",2000,34,The Ecleftic 2 Sides II a Book,Wyclef Jean,67,74
"October 17, 2000",2000,42,Eat at Whiteys ,Everlast,67,84
"May 16, 2000",2000,20,nyc ghosts flowers,Sonic Youth,66,68
"May 2, 2000",2000,18,White Pepper,Ween,66,87
"February 29, 2000",2000,9,MACHINAthe machines of God,Smashing Pumpkins,66,88
"May 16, 2000",2000,20,Beautiful Creature,Juliana Hatfield,66,0
"June 6, 2000",2000,23,Puzzle,Tahiti 80,66,0
"November 21, 2000",2000,47,Songs From An American Movie Vol 2 Good Time For A Bad Attitude,Everclear,65,87
"September 12, 2000",2000,37,Its Like This,Rickie Lee Jones,65,0
"August 1, 2000",2000,31,Vavoom!,Brian Setzer Orchestra,65,0
"December 19, 2000",2000,51,Tha Last Meal,Snoop Dogg,65,73
"August 22, 2000",2000,34,The Green World,Dar Williams,65,0
"September 5, 2000",2000,36,Spectrum of Infinite Scale,Man Or Astroman,65,0
"November 7, 2000",2000,45,Halfway Between the Gutter and the Stars,Fatboy Slim,64,83
"May 30, 2000",2000,22,The History of Rock,Kid Rock,64,71
"January 25, 2000",2000,4,Disco and The Half Way To Discontent,Clinton,64,84
"November 21, 2000",2000,47,Volume 2,Echoboy,64,0
"September 19, 2000",2000,38,The Harsh Light of Day,Fastball,64,86
"June 13, 2000",2000,24,Faith and Courage,Sinéad OConnor,64,86
"November 7, 2000",2000,45,Pelo,The Aluminum Group,63,0
"February 22, 2000",2000,8,Pieces In A Modern Style,William Orbit,62,85
"August 1, 2000",2000,31,Fragments of Freedom,Morcheeba,62,60
"July 18, 2000",2000,29,Im Lonely And I Love It EP,Future Bible Heroes,62,0
"June 6, 2000",2000,23,Killing Puritans,Armand Van Helden,62,0
"November 21, 2000",2000,47,Black Blue,Backstreet Boys,61,88
"December 5, 2000",2000,49,Road Rock Volume 1,Neil Young Friends Relatives,61,0
"June 20, 2000",2000,25,Invincible Summer,kd lang,61,0
"November 14, 2000",2000,46,Conspiracy of One,The Offspring,60,87
"October 10, 2000",2000,41,Vapor Transmissions,Orgy,60,87
"September 26, 2000",2000,39,Golden Lies,Meat Puppets,60,0
"July 18, 2000",2000,29,2000 BC,Canibus,60,81
"November 21, 2000",2000,47,Familiar To Millions,Oasis,60,78
"September 19, 2000",2000,38,Milk Cow Blues,Willie Nelson,59,74
"September 12, 2000",2000,37,Righteous Love,Joan Osborne,59,0
"May 16, 2000",2000,20,First of the Microbe Hunters,Stereolab,59,0
"September 12, 2000",2000,37,Maroon,Barenaked Ladies,59,76
"August 22, 2000",2000,34,Balls,Sparks,59,84
"July 11, 2000",2000,28,Songs From an American Movie Vol One Learning How to Smile,Everclear,57,71
"May 23, 2000",2000,21,Mad Season,Matchbox Twenty,57,86
"September 26, 2000",2000,39,Revelation,98 Degrees,57,0
"September 12, 2000",2000,37,Mi Reflejo,Christina Aguilera,56,83
"November 7, 2000",2000,45,Live at the Mark Tom Travis Show The Enema Strikes Back,Blink-182,56,88
"August 15, 2000",2000,33,The Golden D,Graham Coxon,56,80
"May 23, 2000",2000,21,Communicate,Sasha John Digweed,53,78
"July 25, 2000",2000,30,Horrorscope,Eve 6,53,75
"June 13, 2000",2000,24,Pop Trash,Duran Duran,52,71
"October 17, 2000",2000,42,Chocolate Starfish and the Hot Dog Flavored Water,Limp Bizkit,49,78
"November 7, 2000",2000,45,Forever,Spice Girls,45,73
"November 21, 2000",2000,47,A Day Without Rain,Enya,41,84
